_id,id,user_id,message,response,timestamp
688209ca4e778289ec16a67b,4b95e57f-7058-4853-932e-d854ffe10f39,c28446ee-6e08-412d-86eb-dacf48fcf0d5,ss,I'm currently unable to process your request. For immediate help:,2025-07-24T10:24:10.576+00:00
688209d44e778289ec16a67c,d194190a-998a-41f2-8765-0e30ab422174,c28446ee-6e08-412d-86eb-dacf48fcf0d5,xxs,I'm currently unable to process your request. For immediate help:,2025-07-24T10:24:20.668+00:00
68820b055b4ef8a82fc8e8de,188369a1-13cd-4a55-873b-a79b00e9fc20,c28446ee-6e08-412d-86eb-dacf48fcf0d5,gt,I'm currently unable to process your request. For immediate help:,2025-07-24T10:29:25.371+00:00
68820b095b4ef8a82fc8e8df,68123394-1e44-4b96-82bc-02a74a2f4ba1,c28446ee-6e08-412d-86eb-dacf48fcf0d5,ghy,I'm currently unable to process your request. For immediate help:,2025-07-24T10:29:29.788+00:00
68820b0d5b4ef8a82fc8e8e0,1d41316a-7c59-4952-ac10-778d64453c97,c28446ee-6e08-412d-86eb-dacf48fcf0d5,hy,I'm currently unable to process your request. For immediate help:,2025-07-24T10:29:33.366+00:00
68820b125b4ef8a82fc8e8e1,30c0d2a0-75ab-499c-a925-a4475c9572db,c28446ee-6e08-412d-86eb-dacf48fcf0d5,sql,I'm currently unable to process your request. For immediate help:,2025-07-24T10:29:38.662+00:00
68820bf5b95bfde66e7034bf,d4c99abe-711f-4286-a796-12aff8158954,c28446ee-6e08-412d-86eb-dacf48fcf0d5,sss,I'm currently unable to process your request. For immediate help:,2025-07-24T10:33:25.076+00:00
68820d2832d98453b58168ec,231e088a-fcf4-4e2e-bed3-564fbf44a618,c28446ee-6e08-412d-86eb-dacf48fcf0d5,s,I'm currently unable to process your request. For immediate help:,2025-07-24T10:38:32.764+00:00
68820d2b32d98453b58168ed,82890485-8cb2-41c5-9b9a-ffaf73a3acdb,c28446ee-6e08-412d-86eb-dacf48fcf0d5,c,I'm currently unable to process your request. For immediate help:,2025-07-24T10:38:35.894+00:00
68820d2d32d98453b58168ee,084fee8d-aad4-4892-ad09-6f0f07399cac,c28446ee-6e08-412d-86eb-dacf48fcf0d5,d,I'm currently unable to process your request. For immediate help:,2025-07-24T10:38:37.263+00:00
68820d2e32d98453b58168ef,2b2a4d6b-8603-4b73-bad8-1236babaf462,c28446ee-6e08-412d-86eb-dacf48fcf0d5,d,I'm currently unable to process your request. For immediate help:,2025-07-24T10:38:38.380+00:00
68820dbc35de55ec5e18c08f,94c6f5d9-3b67-400a-bd6b-65d389f22741,c28446ee-6e08-412d-86eb-dacf48fcf0d5,d,[MOCK] AI Response (Docker: unknown_image),2025-07-24T10:41:00.979+00:00
68820e0b35de55ec5e18c090,607e0f0a-26f0-42ab-a92e-b70fc9e4576e,c28446ee-6e08-412d-86eb-dacf48fcf0d5,hy,[MOCK] AI Response (Docker: unknown_image),2025-07-24T10:42:19.668+00:00
68820e1535de55ec5e18c091,c481f9ce-c666-40be-b144-8c698b191264,c28446ee-6e08-412d-86eb-dacf48fcf0d5,s,[MOCK] AI Response (Docker: unknown_image),2025-07-24T10:42:29.859+00:00
68820e902e2f95ffa594b387,515fcc39-b969-40e2-aeed-a7fc3eb9c91d,c28446ee-6e08-412d-86eb-dacf48fcf0d5,d,[MOCK] AI Response (Docker: unknown_image),2025-07-24T10:44:32.010+00:00
68820e932e2f95ffa594b388,54afc045-1b3a-48d5-b513-3c30bb8b3c27,c28446ee-6e08-412d-86eb-dacf48fcf0d5,fff,[MOCK] AI Response (Docker: unknown_image),2025-07-24T10:44:35.705+00:00
68820e962e2f95ffa594b389,3e6477e4-46cb-4d12-a2e0-87edd0e7ed4a,c28446ee-6e08-412d-86eb-dacf48fcf0d5,fffff,[MOCK] AI Response (Docker: unknown_image),2025-07-24T10:44:38.404+00:00
68821a0c8409e7f7f309700d,6d406cad-c0a1-4f29-bbe9-bfb8cc2f2037,c28446ee-6e08-412d-86eb-dacf48fcf0d5,a,[MOCK] AI Response (Docker: unknown_image),2025-07-24T11:33:32.800+00:00
6883b5fef61d7a97f9c7b90f,dabff0bd-d2fa-40f6-bd5e-5b83d26678fa,83d31b6a-77fa-436c-a7d3-6d4ce23ce23a,message,[MOCK] AI Response (Docker: unknown_image),2025-07-25T16:51:10.981+00:00
68864daacc8dc950c6074034,bdb307d7-396e-4a68-a205-1059cde8f680,demo_user,hy,Hi there!  How can I help you today?  Is there a cybersecurity issue y…,2025-07-27T16:02:50.822+00:00
6881f59ffea5c8efbd724219,09e42cc1-1254-47c1-9c1b-f80714671061,c28446ee-6e08-412d-86eb-dacf48fcf0d5,what is xrss,[MOCK] AI Response (Docker: unknown_image),2025-07-24T08:58:07.168+00:00
6881f5a9fea5c8efbd72421a,c5eb4975-9ccd-4ba7-8e8f-561a799c63a8,c28446ee-6e08-412d-86eb-dacf48fcf0d5,hy,[MOCK] AI Response (Docker: unknown_image),2025-07-24T08:58:17.531+00:00
6881f5cbfea5c8efbd72421c,47e03008-cc6f-412e-bc09-6c52e8a79e75,c28446ee-6e08-412d-86eb-dacf48fcf0d5,hy,[MOCK] AI Response (Docker: unknown_image),2025-07-24T08:58:51.726+00:00
6881f66f37ce2c1075a6d79c,39cb4904-6905-4bcc-807a-1f428fc1531f,c28446ee-6e08-412d-86eb-dacf48fcf0d5,s,[MOCK] AI Response (Docker: unknown_image),2025-07-24T09:01:35.233+00:00
6881f7c2d281e361011adec3,30cf13d7-5f78-447c-b41c-9ba7b495190e,c28446ee-6e08-412d-86eb-dacf48fcf0d5,h,"I'm sorry, I'm having trouble processing your request right now. Pleas…",2025-07-24T09:07:14.235+00:00
6881f7ced281e361011adec4,ae9ec054-940f-481b-81cb-3de3dc3cc7ac,c28446ee-6e08-412d-86eb-dacf48fcf0d5,cyber security,"I'm sorry, I'm having trouble processing your request right now. Pleas…",2025-07-24T09:07:26.439+00:00
6881f7e1d281e361011adec5,43d52c3d-6c83-4f09-ac1a-c606911c0ef9,c28446ee-6e08-412d-86eb-dacf48fcf0d5,sql  kya hai,"I'm sorry, I'm having trouble processing your request right now. Pleas…",2025-07-24T09:07:45.624+00:00
